PRFID,AWARDS,GENRENM,PRFSTATE
PF246399,,뮤지컬,공연중
PF246147,,뮤지컬,공연중
PF246133,,뮤지컬,공연중
PF245990,,뮤지컬,공연중
PF245889,,뮤지컬,공연중
PF245875,,뮤지컬,공연중
PF245797,,뮤지컬,공연중
PF245791,,뮤지컬,공연중
PF245687,,뮤지컬,공연중
PF245269,,뮤지컬,공연중
PF245087,,뮤지컬,공연중
PF245081,,뮤지컬,공연중
PF245079,,뮤지컬,공연중
PF244986,,뮤지컬,공연중
PF244959,,뮤지컬,공연중
PF244769,,뮤지컬,공연중
PF244530,,뮤지컬,공연중
PF244405,,뮤지컬,공연중
PF244311,,뮤지컬,공연중
PF244127,,뮤지컬,공연중
PF243956,,뮤지컬,공연중
PF243947,,뮤지컬,공연중
PF243901,,뮤지컬,공연중
PF243886,,뮤지컬,공연중
PF243842,,뮤지컬,공연중
PF243763,제8회 한국뮤지컬어워즈 작품상<br>제8회 한국뮤지컬어워즈 음악상<br>제8회 한국뮤지컬어워즈 대상<br>제8회 한국뮤지컬어워즈 극본상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 여우조연상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 아성 크리에이터상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 여우주연상 노미네이트,뮤지컬,공연중
PF243627,,뮤지컬,공연중
PF243362,,뮤지컬,공연중
PF243273,,뮤지컬,공연중
PF243215,,뮤지컬,공연중
PF243081,제6회 한국뮤지컬어워즈 극본상<br>제6회 한국뮤지컬어워즈 작곡상 노미네이트,뮤지컬,공연중
PF243001,,뮤지컬,공연중
PF242984,,뮤지컬,공연중
PF242932,,뮤지컬,공연중
PF242849,,뮤지컬,공연중
PF242843,,뮤지컬,공연중
PF242836,,뮤지컬,공연중
PF242726,,뮤지컬,공연중
PF242666,,뮤지컬,공연중
PF242456,,뮤지컬,공연중
PF242455,,뮤지컬,공연중
PF242396,,뮤지컬,공연중
PF242395,,뮤지컬,공연중
PF242371,,뮤지컬,공연중
PF242265,,뮤지컬,공연중
PF242231,,뮤지컬,공연중
PF242052,,뮤지컬,공연중
PF242005,,뮤지컬,공연중
PF241845,,뮤지컬,공연중
PF241738,,뮤지컬,공연중
PF241583,,뮤지컬,공연중
PF241497,,뮤지컬,공연중
PF241486,,뮤지컬,공연중
PF241421,,뮤지컬,공연중
PF241385,,뮤지컬,공연중
PF241368,,뮤지컬,공연중
PF241347,,뮤지컬,공연중
PF241301,제6회 2022 한국뮤지컬어워즈 대상<br>제6회 2022 한국뮤지컬어워즈 남자주연상<br>제6회 2022 한국뮤지컬어워즈 여자조연상<br>제62회 2020 그래미어워드 최고 뮤지컬 앨범상<br>2019 외부비평가상 작곡상<br>2019 외부비평가상 여우조연상<br>2019 외부비평가상 남우조연상<br>2019 외부비평가상 최우수신작<br>2019 외부비평가상 연출상<br>2019 외부비평가상 조명디자인상<br>제85회 2019 드라마리그어워드 최우수 뮤지컬 작품상<br>제73회 2019 토니어워드(Tony Awords) 음향상<br>제73회 2019 토니어워드(Tony Awords) 조명디자인상<br>제73회 2019 토니어워드(Tony Awords) 무대디자인상<br>제73회 2019 토니어워드(Tony Awords) 남우조연상<br>제73회 2019 토니어워드(Tony Awords) 연출상<br>제73회 2019 토니어워드(Tony Awords) 음악상<br>제73회 2019 토니어워드(Tony Awords) 최우수작품상<br>제73회 2019 토니어워드(Tony Awords) 편곡상<br>제64회 2019 드라마 데스크 어워드 연출상<br>제64회 2019 드라마 데스크 어워드 남우조연상<br>제64회 2019 드라마 데스크 어워드 조명디자인상<br>제64회 2019 드라마 데스크 어워드 음향상,뮤지컬,공연중
PF241277,,뮤지컬,공연중
PF241120,,뮤지컬,공연중
PF240973,,뮤지컬,공연중
PF240797,2017 예그린뮤지컬어워드 대상<br>제4회 2010 더뮤지컬어워즈 작사상<br>제4회 2010 더뮤지컬어워즈 작곡상<br>제4회 2010 더뮤지컬어워즈 극본상<br>2008 SFCC Awards(외신기자단) 외신기자상<br>제11회 2005 한국뮤지컬대상 극본상<br>제11회 2005 한국뮤지컬대상 작사상,뮤지컬,공연중
PF240789,,뮤지컬,공연중
PF240716,,뮤지컬,공연중
PF240693,,뮤지컬,공연중
PF240597,,뮤지컬,공연중
PF240567,,뮤지컬,공연중
PF240388,2022 한국문화예술위원회 공연예술창작산실 대본공모 당선,뮤지컬,공연중
PF240334,,뮤지컬,공연중
PF240236,,뮤지컬,공연중
PF240203,,뮤지컬,공연중
PF240069,,뮤지컬,공연중
PF240002,제8회 더 뮤지컬 어워즈 9개부문<br>제3회 예그린뮤지컬어워드 흥행상<br>제2회 이데일리 문화대상 대상<br>제14회 대한민국 국회대상 뮤지컬상,뮤지컬,공연중
PF239896,,뮤지컬,공연중
PF239751,,뮤지컬,공연중
PF239742,,뮤지컬,공연중
PF239674,,뮤지컬,공연중
PF239641,,뮤지컬,공연중
PF239344,,뮤지컬,공연중
PF239123,,뮤지컬,공연중
PF239087,,뮤지컬,공연중
PF238514,,뮤지컬,공연중
PF237983,,뮤지컬,공연중
PF237698,,뮤지컬,공연중
PF237601,,뮤지컬,공연중
PF237488,,뮤지컬,공연중
PF237479,,뮤지컬,공연중
PF236863,,뮤지컬,공연중
PF236674,,뮤지컬,공연중
PF236545,,뮤지컬,공연중
PF236543,,뮤지컬,공연중
PF236535,,뮤지컬,공연중
PF236460,,뮤지컬,공연중
PF236349,,뮤지컬,공연중
PF236138,,뮤지컬,공연중
PF235879,,뮤지컬,공연중
PF235543,,뮤지컬,공연중
PF234739,,뮤지컬,공연중
PF233263,,뮤지컬,공연중
PF233082,,뮤지컬,공연중
PF231664,,뮤지컬,공연중
PF231450,,뮤지컬,공연중
PF229985,,뮤지컬,공연중
PF226333,,뮤지컬,공연중
PF222985,,뮤지컬,공연중
PF203142,,뮤지컬,공연중
PF201691,,뮤지컬,공연중
PF189888,,뮤지컬,공연중
PF188943,,뮤지컬,공연중
PF185308,2019 에딘버러 프린지 페스티벌(Edinburgh Festival Fringe) EDITOR'S AWARD WINNER<br>2018 에딘버러 프린지 페스티벌(Edinburgh Festival Fringe) BEST SHOW<br>2018 에딘버러 프린지 페스티벌(Edinburgh Festival Fringe) AISAN ARTS AWARD BEST COMEDY,뮤지컬,공연중
PF183513,,뮤지컬,공연중
PF178635,"제8회 한국뮤지컬어워즈 아동,가족뮤지컬상",뮤지컬,공연중
PF178134,,뮤지컬,공연중
PF173894,,뮤지컬,공연중
PF172547,,뮤지컬,공연중
PF159714,,뮤지컬,공연중
PF155520,,뮤지컬,공연중
PF150471,,뮤지컬,공연중
PF145801,,뮤지컬,공연중
